image_path,target_class,property_value,specimen_id,split_group,magnification,stain,batch_id,acquisition_date
specimen_05_02.png,crack,0.8546,specimen_05,specimen_05,500,none,batch_2,2026-03-09
specimen_05_03.png,crack,0.8975,specimen_05,specimen_05,500,none,batch_2,2026-03-09
specimen_05_04.png,crack,0.8252,specimen_05,specimen_05,500,none,batch_2,2026-03-09
specimen_05_05.png,crack,0.8932,specimen_05,specimen_05,500,none,batch_2,2026-03-09
specimen_06_00.png,grain,0.2545,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_06_01.png,grain,0.2268,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_06_02.png,grain,0.2925,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_06_03.png,grain,0.2275,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_06_04.png,grain,0.1433,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_06_05.png,grain,0.256,specimen_06,specimen_06,200,none,batch_0,2026-03-09
specimen_07_00.png,pore,0.5811,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_07_01.png,pore,0.6431,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_07_02.png,pore,0.5989,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_07_03.png,pore,0.6255,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_07_04.png,pore,0.6337,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_07_05.png,pore,0.6287,specimen_07,specimen_07,200,none,batch_1,2026-03-09
specimen_08_00.png,crack,0.8669,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_08_01.png,crack,0.8415,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_08_02.png,crack,0.8154,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_08_03.png,crack,0.882,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_08_04.png,crack,0.8913,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_08_05.png,crack,0.8898,specimen_08,specimen_08,500,none,batch_2,2026-03-09
specimen_09_00.png,grain,0.2084,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_09_01.png,grain,0.3163,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_09_02.png,grain,0.2608,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_09_03.png,grain,0.1836,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_09_04.png,grain,0.254,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_09_05.png,grain,0.3027,specimen_09,specimen_09,500,none,batch_0,2026-03-09
specimen_10_00.png,pore,0.6804,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_10_01.png,pore,0.654,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_10_02.png,pore,0.6081,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_10_03.png,pore,0.6306,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_10_04.png,pore,0.639,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_10_05.png,pore,0.5582,specimen_10,specimen_10,1000,none,batch_1,2026-03-09
specimen_11_00.png,crack,0.8586,specimen_11,specimen_11,500,none,batch_2,2026-03-09
specimen_11_01.png,crack,0.8084,specimen_11,specimen_11,500,none,batch_2,2026-03-09
specimen_11_02.png,crack,0.886,specimen_11,specimen_11,500,none,batch_2,2026-03-09
specimen_11_03.png,crack,0.8846,specimen_11,specimen_11,500,none,batch_2,2026-03-09
specimen_11_04.png,crack,0.8482,specimen_11,specimen_11,500,none,batch_2,2026-03-09
specimen_11_05.png,crack,0.917,specimen_11,specimen_11,500,none,batch_2,2026-03-09
