image_path,target_class,property_value,specimen_id,magnification,batch_id,source
synthetic_grain_024.png,grain,0.1742,synthetic_grain_8,1000,syn_batch_0,synthetic
synthetic_grain_025.png,grain,0.1786,synthetic_grain_8,200,syn_batch_0,synthetic
synthetic_grain_026.png,grain,0.1855,synthetic_grain_8,500,syn_batch_0,synthetic
synthetic_grain_027.png,grain,0.1701,synthetic_grain_9,500,syn_batch_0,synthetic
synthetic_grain_028.png,grain,0.2217,synthetic_grain_9,1000,syn_batch_0,synthetic
synthetic_grain_029.png,grain,0.1903,synthetic_grain_9,1000,syn_batch_0,synthetic
synthetic_grain_030.png,grain,0.1822,synthetic_grain_10,500,syn_batch_0,synthetic
synthetic_grain_031.png,grain,0.1655,synthetic_grain_10,500,syn_batch_0,synthetic
synthetic_grain_032.png,grain,0.1929,synthetic_grain_10,200,syn_batch_0,synthetic
synthetic_grain_033.png,grain,0.1781,synthetic_grain_11,1000,syn_batch_0,synthetic
synthetic_grain_034.png,grain,0.2151,synthetic_grain_11,500,syn_batch_0,synthetic
synthetic_grain_035.png,grain,0.1958,synthetic_grain_11,1000,syn_batch_0,synthetic
synthetic_grain_036.png,grain,0.1845,synthetic_grain_12,500,syn_batch_0,synthetic
synthetic_grain_037.png,grain,0.2243,synthetic_grain_12,500,syn_batch_0,synthetic
synthetic_grain_038.png,grain,0.1737,synthetic_grain_12,500,syn_batch_0,synthetic
synthetic_grain_039.png,grain,0.2219,synthetic_grain_13,1000,syn_batch_0,synthetic
synthetic_pore_000.png,pore,0.5334,synthetic_pore_0,200,syn_batch_1,synthetic
synthetic_pore_001.png,pore,0.5483,synthetic_pore_0,1000,syn_batch_1,synthetic
synthetic_pore_002.png,pore,0.5239,synthetic_pore_0,1000,syn_batch_1,synthetic
synthetic_pore_003.png,pore,0.5531,synthetic_pore_1,500,syn_batch_1,synthetic
synthetic_pore_004.png,pore,0.5591,synthetic_pore_1,1000,syn_batch_1,synthetic
synthetic_pore_005.png,pore,0.5643,synthetic_pore_1,200,syn_batch_1,synthetic
synthetic_pore_006.png,pore,0.5271,synthetic_pore_2,500,syn_batch_1,synthetic
synthetic_pore_007.png,pore,0.5789,synthetic_pore_2,500,syn_batch_1,synthetic
synthetic_pore_008.png,pore,0.564,synthetic_pore_2,500,syn_batch_1,synthetic
synthetic_pore_009.png,pore,0.556,synthetic_pore_3,200,syn_batch_1,synthetic
synthetic_pore_010.png,pore,0.5754,synthetic_pore_3,200,syn_batch_1,synthetic
synthetic_pore_011.png,pore,0.5217,synthetic_pore_3,500,syn_batch_1,synthetic
synthetic_pore_012.png,pore,0.5199,synthetic_pore_4,500,syn_batch_1,synthetic
synthetic_pore_013.png,pore,0.5631,synthetic_pore_4,500,syn_batch_1,synthetic
synthetic_pore_014.png,pore,0.5177,synthetic_pore_4,500,syn_batch_1,synthetic
synthetic_pore_015.png,pore,0.5145,synthetic_pore_5,500,syn_batch_1,synthetic
synthetic_pore_016.png,pore,0.4905,synthetic_pore_5,200,syn_batch_1,synthetic
synthetic_pore_017.png,pore,0.537,synthetic_pore_5,1000,syn_batch_1,synthetic
synthetic_pore_018.png,pore,0.5941,synthetic_pore_6,200,syn_batch_1,synthetic
synthetic_pore_019.png,pore,0.5686,synthetic_pore_6,500,syn_batch_1,synthetic
synthetic_pore_020.png,pore,0.4768,synthetic_pore_6,200,syn_batch_1,synthetic
synthetic_pore_021.png,pore,0.5677,synthetic_pore_7,500,syn_batch_1,synthetic
synthetic_pore_022.png,pore,0.5416,synthetic_pore_7,1000,syn_batch_1,synthetic
synthetic_pore_023.png,pore,0.5722,synthetic_pore_7,500,syn_batch_1,synthetic
synthetic_pore_024.png,pore,0.5897,synthetic_pore_8,200,syn_batch_1,synthetic
synthetic_pore_025.png,pore,0.5499,synthetic_pore_8,200,syn_batch_1,synthetic
synthetic_pore_026.png,pore,0.5741,synthetic_pore_8,200,syn_batch_1,synthetic
synthetic_pore_027.png,pore,0.5814,synthetic_pore_9,1000,syn_batch_1,synthetic
synthetic_pore_028.png,pore,0.5947,synthetic_pore_9,200,syn_batch_1,synthetic
synthetic_pore_029.png,pore,0.5602,synthetic_pore_9,1000,syn_batch_1,synthetic
synthetic_pore_030.png,pore,0.5441,synthetic_pore_10,500,syn_batch_1,synthetic
synthetic_pore_031.png,pore,0.5204,synthetic_pore_10,200,syn_batch_1,synthetic
synthetic_pore_032.png,pore,0.5886,synthetic_pore_10,200,syn_batch_1,synthetic
synthetic_pore_033.png,pore,0.597,synthetic_pore_11,200,syn_batch_1,synthetic
synthetic_pore_034.png,pore,0.5757,synthetic_pore_11,500,syn_batch_1,synthetic
synthetic_pore_035.png,pore,0.5324,synthetic_pore_11,200,syn_batch_1,synthetic
synthetic_pore_036.png,pore,0.545,synthetic_pore_12,200,syn_batch_1,synthetic
synthetic_pore_037.png,pore,0.5673,synthetic_pore_12,500,syn_batch_1,synthetic
synthetic_pore_038.png,pore,0.5703,synthetic_pore_12,500,syn_batch_1,synthetic
synthetic_pore_039.png,pore,0.5726,synthetic_pore_13,200,syn_batch_1,synthetic
synthetic_crack_000.png,crack,0.9038,synthetic_crack_0,1000,syn_batch_2,synthetic
synthetic_crack_001.png,crack,0.8801,synthetic_crack_0,1000,syn_batch_2,synthetic
synthetic_crack_002.png,crack,0.9317,synthetic_crack_0,1000,syn_batch_2,synthetic
synthetic_crack_003.png,crack,0.8984,synthetic_crack_1,200,syn_batch_2,synthetic
synthetic_crack_004.png,crack,0.9318,synthetic_crack_1,500,syn_batch_2,synthetic
synthetic_crack_005.png,crack,0.8852,synthetic_crack_1,500,syn_batch_2,synthetic
synthetic_crack_006.png,crack,0.9069,synthetic_crack_2,200,syn_batch_2,synthetic
synthetic_crack_007.png,crack,0.9056,synthetic_crack_2,1000,syn_batch_2,synthetic
synthetic_crack_008.png,crack,0.8791,synthetic_crack_2,500,syn_batch_2,synthetic
synthetic_crack_009.png,crack,0.9307,synthetic_crack_3,500,syn_batch_2,synthetic
synthetic_crack_010.png,crack,0.9164,synthetic_crack_3,1000,syn_batch_2,synthetic
synthetic_crack_011.png,crack,0.8425,synthetic_crack_3,500,syn_batch_2,synthetic
synthetic_crack_012.png,crack,0.9041,synthetic_crack_4,500,syn_batch_2,synthetic
synthetic_crack_013.png,crack,0.9248,synthetic_crack_4,1000,syn_batch_2,synthetic
synthetic_crack_014.png,crack,0.8678,synthetic_crack_4,500,syn_batch_2,synthetic
synthetic_crack_015.png,crack,0.9113,synthetic_crack_5,500,syn_batch_2,synthetic
synthetic_crack_016.png,crack,0.9147,synthetic_crack_5,200,syn_batch_2,synthetic
synthetic_crack_017.png,crack,0.8643,synthetic_crack_5,1000,syn_batch_2,synthetic
synthetic_crack_018.png,crack,0.9053,synthetic_crack_6,500,syn_batch_2,synthetic
synthetic_crack_019.png,crack,0.9167,synthetic_crack_6,1000,syn_batch_2,synthetic
synthetic_crack_020.png,crack,0.9259,synthetic_crack_6,1000,syn_batch_2,synthetic
synthetic_crack_021.png,crack,0.9187,synthetic_crack_7,500,syn_batch_2,synthetic
synthetic_crack_022.png,crack,0.8603,synthetic_crack_7,1000,syn_batch_2,synthetic
synthetic_crack_023.png,crack,0.9854,synthetic_crack_7,200,syn_batch_2,synthetic
synthetic_crack_024.png,crack,0.9225,synthetic_crack_8,1000,syn_batch_2,synthetic
synthetic_crack_025.png,crack,0.9048,synthetic_crack_8,500,syn_batch_2,synthetic
synthetic_crack_026.png,crack,0.83,synthetic_crack_8,500,syn_batch_2,synthetic
synthetic_crack_027.png,crack,0.9371,synthetic_crack_9,200,syn_batch_2,synthetic
synthetic_crack_028.png,crack,0.867,synthetic_crack_9,1000,syn_batch_2,synthetic
synthetic_crack_029.png,crack,0.8751,synthetic_crack_9,1000,syn_batch_2,synthetic
synthetic_crack_030.png,crack,0.8805,synthetic_crack_10,200,syn_batch_2,synthetic
synthetic_crack_031.png,crack,0.8995,synthetic_crack_10,1000,syn_batch_2,synthetic
synthetic_crack_032.png,crack,0.8635,synthetic_crack_10,500,syn_batch_2,synthetic
synthetic_crack_033.png,crack,0.9164,synthetic_crack_11,200,syn_batch_2,synthetic
synthetic_crack_034.png,crack,0.9436,synthetic_crack_11,1000,syn_batch_2,synthetic
synthetic_crack_035.png,crack,0.8782,synthetic_crack_11,200,syn_batch_2,synthetic
synthetic_crack_036.png,crack,0.9119,synthetic_crack_12,200,syn_batch_2,synthetic
synthetic_crack_037.png,crack,0.873,synthetic_crack_12,1000,syn_batch_2,synthetic
synthetic_crack_038.png,crack,0.9329,synthetic_crack_12,200,syn_batch_2,synthetic
synthetic_crack_039.png,crack,0.8925,synthetic_crack_13,200,syn_batch_2,synthetic
